dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,0.04261276543019138,-0.022277674860931795,-0.03007010977419111,-0.026173892317561454,2,0.6519028645771505,deepseek-chat,2,4,0.6226804870958771,abstract_algebra
mmlu,0.04061054338215789,-0.06527691958700388,-0.1595088333287622,-0.11239287645788304,2,0.555657236330217,gemini-2.5-flash-lite,2,4,0.6505099546913522,abstract_algebra
mmlu,-0.21924094614280695,0.19997205145842195,0.06154963658957269,0.13076084402399732,2,0.6994638779108573,gpt-4o-mini,2,4,0.4791937913779205,abstract_algebra
mmlu,-0.2712825914949515,0.06598414704794098,-0.044235965119097,0.01087409096442199,2,0.7518736690261928,qwen3.5-plus,2,4,0.7275209120626264,abstract_algebra
mmlu,-0.2154838998060129,0.2114595810313159,0.06760144609868834,0.13953051356500212,2,0.7368611072293314,deepseek-chat,2,4,0.38890630869308496,anatomy
mmlu,-0.0762849560279632,0.1926695943349086,-0.02722752304170767,0.08272103564660047,2,0.409692877008652,gemini-2.5-flash-lite,2,4,0.3494112816202337,anatomy
mmlu,-0.08173170256309598,0.17037251803057907,0.018525598763270812,0.09444905839692494,2,0.5117445483130731,gpt-4o-mini,2,4,0.48188141564769327,anatomy
mmlu,-0.10649631932709627,0.3642357202527603,0.09098943353068273,0.2276125768917215,2,0.6200356163711878,qwen3.5-plus,2,4,0.4722825573213388,anatomy
mmlu,-0.37721518987341784,0.36714119494722447,0.36714119494722447,0.36714119494722447,1,0.7134804071359583,deepseek-chat,1,2,0.41590725470803414,astronomy
mmlu,0.379872538094133,-0.3382155331090546,-0.3382155331090546,-0.3382155331090546,1,0.26668463622118677,gemini-2.5-flash-lite,1,2,0.6002206541190085,astronomy
mmlu,-0.03455872128008841,-0.12841502498246693,-0.12841502498246693,-0.12841502498246693,1,0.3122304246328794,gpt-4o-mini,1,2,0.39349233090204006,astronomy
mmlu,-0.6772151898734178,0.35053481793943747,0.35053481793943747,0.35053481793943747,1,0.6968740301281713,qwen3.5-plus,1,2,0.39349233090204006,astronomy
mmlu,-0.029825510171521297,0.3245112497836532,-0.14663055783573287,0.08894034597396017,2,0.5159949634269948,deepseek-chat,2,4,0.6251371448942712,business_ethics
mmlu,-0.22344519133102708,0.16100993305671835,0.10290806128161073,0.13195899716916454,2,0.3838394883898535,gemini-2.5-flash-lite,2,4,0.34683825405061874,business_ethics
mmlu,-0.11906579535753725,0.07197237045427168,0.006300689324593878,0.03913652988943278,2,0.37917505275357266,gpt-4o-mini,2,4,0.36362107607258165,business_ethics
mmlu,-0.1993257733179862,0.30036673225454597,-0.026682624399457566,0.1368420539275442,2,0.5514913184236421,qwen3.5-plus,2,4,0.40158731161165356,business_ethics
mmlu,-0.22417911049812256,0.3277868493437016,-0.12848475589400582,0.0996510467248479,2,0.6069385052714756,deepseek-chat,2,4,0.6208786187780617,college_biology
mmlu,-0.13034811351445585,0.6103826341884067,0.0,0.30519131709420333,2,0.5039513869403339,gemini-2.5-flash-lite,2,4,0.3935148525231068,college_biology
mmlu,0.10782480597511196,0.05100443166412044,-0.38900393034979486,-0.1689997493428372,2,0.30333452186149434,gpt-4o-mini,2,4,0.445599071170729,college_biology
mmlu,0.009749772366281273,-0.07406310982482389,-0.08604958175129207,-0.08005634578805798,2,0.4254047907178809,qwen3.5-plus,2,4,0.500628307409238,college_biology
mmlu,-0.1109860503439354,0.3868021935752018,-0.4588316328238921,-0.0985904198008506,3,0.4612096077335322,deepseek-chat,3,6,0.5985016808094211,college_chemistry
mmlu,0.15938914055342387,0.10774964037538237,-0.39724146394220855,-0.09887706670036339,3,0.6004795031944224,gemini-2.5-flash-lite,3,6,0.6224468001160907,college_chemistry
mmlu,0.0005792062299167511,0.22216650818516193,-0.06417241629046544,0.05546386780985679,3,0.5912922505777124,gpt-4o-mini,3,6,0.48354594895469455,college_chemistry
mmlu,-0.04242568494198427,0.14377520994914605,-0.07774964037538229,0.05629202510410845,3,0.6033388910786713,qwen3.5-plus,3,6,0.4778124617195543,college_chemistry
mmlu,0.4,-0.12451124978365324,-0.12451124978365324,-0.12451124978365324,1,0.36096404744368116,deepseek-chat,1,2,0.5558246362657266,college_computer_science
mmlu,0.013102585263863875,-0.15372461765059886,-0.15372461765059886,-0.15372461765059886,1,0.36096404744368116,gemini-2.5-flash-lite,1,2,0.4378263562689806,college_computer_science
mmlu,0.39999999999999997,-0.43514055305469856,-0.43514055305469856,-0.43514055305469856,1,0.36096404744368116,gpt-4o-mini,1,2,0.640789948862857,college_computer_science
mmlu,0.013102585263863875,-0.15372461765059886,-0.15372461765059886,-0.15372461765059886,1,0.36096404744368116,qwen3.5-plus,1,2,0.5000819811608073,college_computer_science
mmlu,-0.3075400704428899,0.23890425783858815,0.23890425783858815,0.23890425783858815,1,0.5635846904822703,deepseek-chat,1,2,0.5754272039739006,college_mathematics
mmlu,0.4,-0.1952171325663673,-0.1952171325663673,-0.1952171325663673,1,0.44064544961534635,gemini-2.5-flash-lite,1,2,0.7187360396203706,college_mathematics
mmlu,-0.4293851086064928,0.421674610487469,0.421674610487469,0.421674610487469,1,0.8718306279398222,gpt-4o-mini,1,2,0.461633311029971,college_mathematics
mmlu,-0.7,0.2986731036521325,0.2986731036521325,0.2986731036521325,1,0.7393185532674789,qwen3.5-plus,1,2,0.44064544961534635,college_mathematics
mmlu,-0.21645158616777857,0.3609640474436812,0.03892297892083818,0.15245621439754684,3,0.4373652770503535,deepseek-chat,3,6,0.41133008819017797,college_medicine
mmlu,-0.1546663885595412,0.27874778863993843,-0.2646804326436821,0.05630078258649118,3,0.3791593862119276,gemini-2.5-flash-lite,3,6,0.41527076781432054,college_medicine
mmlu,0.12708002489186274,0.13283970704857906,-0.24106541033133042,-0.02898396576962468,3,0.46960089332305605,gpt-4o-mini,3,6,0.49876673551227185,college_medicine
mmlu,-0.10017111501617282,0.24439673501236117,0.0,0.08383653576861881,3,0.6053433104612053,qwen3.5-plus,3,6,0.47746830925180767,college_medicine
mmlu,-0.07883675911811475,0.07103237968586706,-0.008512953909601384,0.03125971288813284,2,0.7649949689165753,deepseek-chat,2,4,0.701915350959583,college_physics
mmlu,0.022635664957807278,0.13288892539291874,0.0,0.06644446269645937,2,0.4947900567318985,gemini-2.5-flash-lite,2,4,0.43449552182539275,college_physics
mmlu,0.29187247126775917,0.04045023928577485,-0.27283495752061193,-0.11619235911741854,2,0.5272256810215102,gpt-4o-mini,2,4,0.5420317448771376,college_physics
mmlu,-0.306788600914663,0.35613529670678645,0.0,0.17806764835339323,2,0.6472349828661229,qwen3.5-plus,2,4,0.46916733451272963,college_physics
mmlu,-0.06667043688688912,0.13757937026575062,-0.17396081339415959,-0.01819072156420448,2,0.40881859636662315,deepseek-chat,2,4,0.47944540237052896,computer_security
mmlu,0.008735056842575861,0.04312530992308522,0.0,0.02156265496154261,2,0.22032272480767318,gemini-2.5-flash-lite,2,4,0.20954139732690186,computer_security
mmlu,0.2707759755581099,0.015306130230183512,-0.36096404744368116,-0.17282895860674882,2,0.17001926143206997,gpt-4o-mini,2,4,0.3596506600007372,computer_security
mmlu,-0.16339752062000168,0.06884464162225318,0.06652906455115892,0.06768685308670605,2,0.4025770057315443,qwen3.5-plus,2,4,0.3388691863418285,computer_security
mmlu,-0.19575164471128867,0.25762664115694534,-0.11162146764187708,0.049095054986107445,3,0.7431816499594386,deepseek-chat,3,6,0.5482771961724483,conceptual_physics
mmlu,-0.23346504839105495,0.4568829317161203,-0.32787537665900013,0.14584807169263142,3,0.6406676940149055,gemini-2.5-flash-lite,3,6,0.6208085361704586,conceptual_physics
mmlu,0.1138336146342334,0.355671773521086,-0.07404321547893367,0.12803049697350763,3,0.5903406470120696,gpt-4o-mini,3,6,0.4932833795168869,conceptual_physics
